,Generator Loss per step,Discriminator Loss per step
604,4.6043997,1.2433764
605,4.3638043,1.2238567
606,4.3753285,1.3609394
607,4.3657813,1.3019754
608,4.396314,1.403116
609,4.382677,1.2482123
610,3.843453,1.2216814
611,3.8516297,1.3748267
612,4.5265274,1.2391667
613,4.3417044,1.3164735
614,4.3233166,1.0844686
615,4.0497828,1.0090623
616,4.1211586,1.2439594
617,4.284268,1.1490542
618,4.3246474,1.339111
619,4.3545547,1.4111762
620,4.4218025,1.3673782
621,4.2341046,1.4332922
622,4.369561,1.1999037
623,4.02442,1.3834727
624,3.9942951,1.450016
625,3.8594878,1.2596941
626,3.7146387,1.3554727
627,3.5855842,1.3441303
628,3.9660723,1.0432149
629,4.200673,1.2478402
630,4.244412,1.3339741
631,4.5319414,1.2251132
632,4.119263,1.2654219
633,4.4395103,0.98497975
634,4.479502,1.4824638
635,3.8663983,1.3694184
636,4.0475335,1.4105833
637,4.1265006,1.4594519
638,4.1935935,1.2738485
639,4.094358,1.1209424
640,4.8862457,1.261145
641,3.8982372,1.3653877
642,3.5923815,1.3519305
643,3.708684,1.4424363
644,3.9280145,1.3379815
645,3.8740778,1.174132
646,4.4295697,0.93357885
647,4.450123,0.8276009
648,4.008752,1.0186508
649,3.9547114,1.175637
650,4.462988,0.9864333
651,4.5861115,1.8277982
652,4.259264,1.4990611
653,4.387556,1.4627628
654,4.529223,1.2740638
655,4.2111797,1.2985382
656,3.9656081,1.2595041
657,4.360967,1.1703353
658,4.6411295,1.2219241
659,4.49543,1.3015987
660,3.975109,1.1684105
661,4.2142696,1.2882738
662,4.1954103,1.0971634
663,4.0927367,1.2915825
664,4.0762844,1.2345576
665,3.7386427,1.3932252
666,4.411885,1.1095331
667,4.3401084,1.3021485
668,4.066177,1.282083
669,4.5372295,1.1711445
670,4.087882,1.4179453
671,4.3417654,1.658946
672,4.1700163,1.4248269
673,4.01695,1.3957546
674,4.2520003,1.4278165
675,3.958348,1.3972864
676,4.070669,1.2235965
677,4.164098,1.3619237
678,4.311743,1.2753434
679,4.2439837,1.1874716
680,4.3158937,1.1373264
681,4.3457494,1.199729
682,4.213247,1.2261046
683,4.3352294,1.2563367
684,4.1425734,1.1254356
685,3.9835458,1.1976054
686,3.9358408,1.3749179
687,4.3095083,1.1820604
688,4.1132784,1.3653561
689,4.293324,1.2133101
690,4.241841,1.2660435
691,4.2512555,1.4559226
692,4.3371305,1.1908754
693,3.8972707,1.4887716
694,4.203148,1.2737303
695,4.100691,1.3739898
696,4.082611,1.4630873
697,4.184084,1.1451399
698,4.229452,1.345907
699,4.010415,1.4673116
700,3.997054,1.3197026
701,3.667266,1.4612807
702,3.7825632,1.4093995
703,3.915438,1.2902278
704,3.9204056,1.2228786
705,4.068332,1.1588032
706,4.370265,1.0883434
707,4.0267305,1.2160331
708,4.4754047,0.92209506
709,4.551939,1.6305022
710,3.9798164,1.5374091
711,4.094667,1.480185
712,3.931314,1.7368857
713,3.9880123,1.400623
714,4.1610765,1.2269328
715,4.903935,1.43845
716,3.994035,1.451028
717,3.7113714,1.4070342
718,3.7360885,1.3657933
719,3.9012864,1.2052205
720,4.200577,1.2383145
721,4.569862,1.0316225
722,4.464992,0.9743184
723,3.9710221,1.0723151
724,3.80079,1.2817733
725,4.273561,1.0585089
726,4.2317977,1.6183405
727,3.976882,1.44609
728,4.1614165,1.455553
729,4.3199167,1.3196548
730,3.9007926,1.3211619
731,4.035052,1.1841881
732,4.297131,1.0952189
733,4.3576474,1.10505
734,4.1386724,1.3728478
735,3.9034648,1.2401729
736,4.3050566,1.2279449
737,4.18929,0.94451016
738,4.256097,1.2990041
739,4.0412493,1.1421684
740,3.889059,1.317061
741,4.3107834,1.0923629
742,4.51754,1.7301499
743,4.0060706,1.5452929
744,4.208703,1.2364641
745,4.2078867,1.4580637
746,4.1519156,1.6767178
747,3.996896,1.5125799
748,3.6907678,1.4980116
749,4.0294065,1.4246166
750,3.8421268,1.3503962
751,4.016041,1.1805874
752,4.189833,1.3947932
753,4.42959,1.2630337
754,4.2402444,1.1617061
755,4.232105,1.1420405
756,4.10439,1.1960394
757,3.8655975,1.2432446
758,3.880557,1.2635458
759,4.2613482,1.1190969
760,4.0494967,1.1769117
761,3.8519058,1.4236655
762,4.4937086,1.0766969
763,4.3693767,1.2958128
764,4.4764786,1.3839127
765,4.1755896,1.3538405
766,4.355258,1.5432264
767,4.5965214,1.2963533
768,4.0234876,1.2432342
769,4.1735945,1.1063337
770,3.9953485,1.2743374
771,4.0391464,1.4933863
772,4.0330143,1.3713048
773,4.034682,1.3804665
774,3.8890593,1.5858365
775,3.9009283,1.3545098
776,3.5712311,1.5362651
777,3.5550919,1.4049535
778,3.843994,1.1169509
779,3.8254418,1.2284737
780,4.281815,1.1833143
781,4.524922,1.2532552
782,4.1090236,1.2813082
783,4.3152113,1.0945079
784,4.142232,1.7034926
785,4.021332,1.4816941
786,4.0349503,1.4420657
787,4.057,1.361825
788,3.9972763,1.234589
